Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
9.29304	DL DCI Rxed	929	3	0	2	1	0	19	2
9.29346	HARQ FD Txed	929	3	0	2	1	0	16	2
9.29354	DL DCI Rxed	929	3	1	2	1	0	18	2
9.29396	HARQ FD Txed	929	3	1	2	1	0	15	2
9.29404	DL DCI Rxed	929	4	0	2	1	0	17	2
9.29446	HARQ FD Txed	929	4	0	2	1	0	19	2
9.29454	DL DCI Rxed	929	4	1	2	1	0	16	2
9.29496	HARQ FD Txed	929	4	1	2	1	0	18	2
9.29504	DL DCI Rxed	929	5	0	2	1	0	15	2
9.29546	HARQ FD Txed	929	5	0	2	1	0	17	2
9.29554	DL DCI Rxed	929	5	1	2	1	0	19	2
9.29596	HARQ FD Txed	929	5	1	2	1	0	16	2
9.29604	DL DCI Rxed	929	6	0	2	1	0	18	2
9.29646	HARQ FD Txed	929	6	0	2	1	0	15	2
9.29654	DL DCI Rxed	929	6	1	2	1	0	17	2
9.29696	HARQ FD Txed	929	6	1	2	1	0	19	2
9.29704	DL DCI Rxed	929	7	0	2	1	0	16	2
9.29746	HARQ FD Txed	929	7	0	2	1	0	18	2
9.29754	DL DCI Rxed	929	7	1	2	1	0	15	2
9.29796	HARQ FD Txed	929	7	1	2	1	0	17	2
9.29804	DL DCI Rxed	929	8	0	2	1	0	19	2
9.29846	HARQ FD Txed	929	8	0	2	1	0	16	2
9.29854	DL DCI Rxed	929	8	1	2	1	0	18	2
9.29896	HARQ FD Txed	929	8	1	2	1	0	15	2
9.29904	DL DCI Rxed	929	9	0	2	1	0	17	2
9.29946	HARQ FD Txed	929	9	0	2	1	0	19	2
9.29954	DL DCI Rxed	929	9	1	2	1	0	16	2
9.29996	HARQ FD Txed	929	9	1	2	1	0	18	2
9.30004	DL DCI Rxed	930	0	0	2	1	0	15	2
9.30046	HARQ FD Txed	930	0	0	2	1	0	17	2
9.30054	DL DCI Rxed	930	0	1	2	1	0	19	2
9.30096	HARQ FD Txed	930	0	1	2	1	0	16	2
9.30104	DL DCI Rxed	930	1	0	2	1	0	18	2
9.30146	HARQ FD Txed	930	1	0	2	1	0	15	2
9.30154	DL DCI Rxed	930	1	1	2	1	0	17	2
9.30196	HARQ FD Txed	930	1	1	2	1	0	19	2
9.30204	DL DCI Rxed	930	2	0	2	1	0	16	2
9.30246	HARQ FD Txed	930	2	0	2	1	0	18	2
9.30254	DL DCI Rxed	930	2	1	2	1	0	15	2
9.30296	HARQ FD Txed	930	2	1	2	1	0	17	2
9.30304	DL DCI Rxed	930	3	0	2	1	0	19	2
